"id","genre","artist_name","energy","mood_vec","track_name","valence"
"6L89mwZXSOwYl76YXfX13s","punk","Green Day","0.943","[{""N"":""0.781""},{""N"":""0.943""}]","Basket Case","0.781"
"6Pw4WKCH1bfULx3vrxYMwe","acoustic","Tyler Ward","0.659","[{""N"":""0.962""},{""N"":""0.659""}]","Moves Like Jagger","0.962"
"3piY5aMfwEEmXMV6I9kpoi","singer-songwriter","Various Artists","0.179","[{""N"":""0.374""},{""N"":""0.179""}]","Imagine","0.374"
"5vCgOg9VqRaAUbnflCO6P3","honky-tonk","Keith Urban","0.664","[{""N"":""0.366""},{""N"":""0.664""}]","Cop Car","0.366"
"3uFyOOu4CYRdDi8cdF39gS","reggaeton","Tony Dize","0.793","[{""N"":""0.683""},{""N"":""0.793""}]","Hasta Verla Sin Na (feat. Arcangel)","0.683"
"0lXbcnyo5T3VTa7gJ9fdGo","ambient","Balmorhea","0.259","[{""N"":""0.0583""},{""N"":""0.259""}]","Attesa","0.0583"
"0P0QtzYknn4wutXTHpjJqc","indian","Arijit Singh","0.615","[{""N"":""0.895""},{""N"":""0.615""}]","Kabira","0.895"
"7nzTLG2GOA7NWWO7SzkSn7","opera","Giuseppe Verdi","0.0806","[{""N"":""0.266""},{""N"":""0.0806""}]","""La traviata: Act II: Ah, vive sol quel core all'amor mio!""","0.266"
"2TszOHrBRWZtLtWedHeJdz","philippines-opm","Sarah Geronimo","0.492","[{""N"":""0.211""},{""N"":""0.492""}]","Again","0.211"
"7nD9nN3jord9wWcfW3Gkcm","pop","Fifth Harmony","0.791","[{""N"":""0.755""},{""N"":""0.791""}]","All In My Head (Flex) (feat. Fetty Wap)","0.755"
"5pmYtDp8mCkgRVrUWRV7uR","songwriter","Various Artists","0.718","[{""N"":""0.563""},{""N"":""0.718""}]","Goodbye Mozart","0.563"
"1dL63hvxZAqAVlpWPf6zxq","j-dance","note native","0.959","[{""N"":""0.589""},{""N"":""0.959""}]","ALIVE","0.589"
"6HWi73j4pZBcaPcQXYiaxL","mpb","Geraldo Azevedo","0.36","[{""N"":""0.256""},{""N"":""0.36""}]","Cravo Vermelho","0.256"
"11qIc2hRAYw2CHpFkTKSnK","deep-house","Friend Within","0.899","[{""N"":""0.687""},{""N"":""0.899""}]","The Game","0.687"
"0fxOdkBOWshmVOujZHCVPZ","j-pop","Miki Imai","0.474","[{""N"":""0.418""},{""N"":""0.474""}]","青春のリグレット","0.418"
"3nRwynxcMhFyO3FLHd5ulE","punk-rock","Dropkick Murphys","0.975","[{""N"":""0.334""},{""N"":""0.975""}]","""Johnny, I Hardly Knew Ya""","0.334"
"6ZVJHYS263dytHJ305YzW6","breakbeat","Various Artists","0.685","[{""N"":""0.0617""},{""N"":""0.685""}]","Pulp Fiction","0.0617"
"6hc49zBl1Yd1Oz0DWAA5oq","salsa","Calle Real","0.904","[{""N"":""0.962""},{""N"":""0.904""}]","Princesa (Timba)","0.962"
"65KWSO41BTzyBEthvaMqGS","indie","Ariel Pink","0.253","[{""N"":""0.336""},{""N"":""0.253""}]","Baby (Bonus Track)","0.336"
"2EEinN4Zk8MUv4OQuLsTBj","indie","New Order","0.91","[{""N"":""0.756""},{""N"":""0.91""}]","Age of Consent - 2015 Remaster","0.756"
"0sN5bVcf5W4Dq8kop1HqdR","alt-rock","Nada Surf","0.917","[{""N"":""0.432""},{""N"":""0.917""}]","Everyone's On Tour","0.432"
"6DNWLpWP33zqnR7rpMkzh1","house","Hardwell","0.938","[{""N"":""0.187""},{""N"":""0.938""}]","Encoded - Original Mix","0.187"
"3CJ60azPXtva8OdBsxSA7a","pop-film","Simon & Garfunkel","0.456","[{""N"":""0.787""},{""N"":""0.456""}]","Mrs. Robinson - Single Mix","0.787"
"0FHjbiHhCK7q4ijIRHZ0dK","cantopop","Jill Vidal","0.584","[{""N"":""0.725""},{""N"":""0.584""}]","Funny Jealousy","0.725"
"7uAJuE1qVnXD3zasCqnhOu","jazz","Mary Lou Williams","0.0566","[{""N"":""0.603""},{""N"":""0.0566""}]","Miss D. D.","0.603"
"70RjYMSmFY0VpWqBprxDRD","dubstep","Various Artists","0.874","[{""N"":""0.408""},{""N"":""0.874""}]","Ampersand","0.408"
"2dfVluZuWCZe8BNivzbrxV","j-dance","Ken Ishii","0.944","[{""N"":""0.239""},{""N"":""0.944""}]","Twiched - Primitive Spirit Remix","0.239"
"7Ma4XgLDtkEnP6q6Jn3YmN","soundtracks","Various Artists","0.784","[{""N"":""0.763""},{""N"":""0.784""}]","I Didn't Mean It - Vibey Version","0.763"
"1akkzUk0nUq90X56xDVGHZ","synth-pop","Neon Trees","0.924","[{""N"":""0.725""},{""N"":""0.924""}]","Everybody Talks","0.725"
"4pn0G7yHNfTgRYRWca8gYA","happy","Pitbull","0.942","[{""N"":""0.549""},{""N"":""0.942""}]","We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)","0.549"
"3cnRYoW4nYzIuVPCp7k5iG","chill","Jack Johnson","0.394","[{""N"":""0.443""},{""N"":""0.394""}]","Breakdown","0.443"
"0KzC77rr84X0X1Rg3hz2Y3","hardcore","Sick Of It All","0.948","[{""N"":""0.24""},{""N"":""0.948""}]","Blown Away","0.24"
"7M1PQZeyqslVtY5ZiYBGLo","country","Filmore","0.75","[{""N"":""0.911""},{""N"":""0.75""}]","Slower","0.911"
"7mBNvOFeIycEYeGedJWbbg","dance","A-Trak","0.751","[{""N"":""0.549""},{""N"":""0.751""}]","Ibanez","0.549"
"6tlRodqnPwOLKSyDsvrt8m","hardstyle","Wasted Penguinz","0.857","[{""N"":""0.551""},{""N"":""0.857""}]","I Miss You - Extended Version","0.551"
"44AxeBXrK9LQlGjXyT2oZQ","metal","Iron Maiden","0.951","[{""N"":""0.471""},{""N"":""0.951""}]","Run to the Hills","0.471"
"4pp4WUk9l2xvk41kR0K2uS","grindcore","Extreme Noise Terror","0.985","[{""N"":""0.049""},{""N"":""0.985""}]","Fucked Up System","0.049"
"0RTnMChwd0ARVY3zOyNdaP","r-n-b","Sabrina Claudio","0.352","[{""N"":""0.537""},{""N"":""0.352""}]","Orion's Belt","0.537"
"3wbZ4SLakqTZqV76czDeuZ","rockabilly","Ritchie Valens","0.716","[{""N"":""0.77""},{""N"":""0.716""}]","""Come On, Let's Go""","0.77"
"39CAeS8SLqtUMC6jElZfzl","post-dubstep","Robot Koch","0.705","[{""N"":""0.53""},{""N"":""0.705""}]","Follow Birds","0.53"
"4vJr55lngvhSM8WIh9CjQc","metal","Pantera","0.726","[{""N"":""0.426""},{""N"":""0.726""}]","Cemetery Gates","0.426"
"75HUxEyYVoVnO4ZfAU9dfp","singer-songwriter","Birdy","0.196","[{""N"":""0.261""},{""N"":""0.196""}]","Shelter","0.261"
